Vertices Edges
15 208 directed
0,2,51
2,0,50
0,3,67
3,0,66
0,4,42
4,0,41
0,5,23
5,0,22
0,6,12
6,0,11
0,7,41
7,0,40
0,8,74
8,0,73
0,9,30
9,0,29
0,10,11
10,0,10
0,11,2
11,0,1
0,12,45
12,0,44
0,13,4
13,0,3
0,14,47
14,0,46
1,2,85
2,1,84
1,3,41
3,1,40
1,4,20
4,1,19
1,5,65
5,1,64
1,6,86
6,1,85
1,7,79
7,1,78
1,8,5
8,1,4
1,9,73
9,1,72
1,10,33
10,1,32
1,11,66
11,1,65
1,12,44
12,1,43
1,13,5
13,1,4
1,14,88
14,1,87
2,3,69
3,2,68
2,4,11
4,2,10
2,5,65
5,2,64
2,6,49
6,2,48
2,7,48
7,2,47
2,8,75
8,2,74
2,9,18
9,2,17
2,10,38
10,2,37
2,11,3
11,2,2
2,12,49
12,2,48
2,13,14
13,2,13
2,14,51
14,2,50
3,4,93
4,3,92
3,5,4
5,3,3
3,6,59
6,3,58
3,7,25
7,3,24
3,8,7
8,3,6
3,9,80
9,3,79
3,10,1
10,3,1
3,11,90
11,3,89
3,12,87
12,3,86
3,13,47
13,3,46
3,14,43
14,3,42
4,5,70
5,4,69
4,6,95
6,4,94
4,7,63
7,4,62
4,8,15
8,4,14
4,9,82
9,4,81
4,10,38
10,4,37
4,11,65
11,4,64
4,12,58
12,4,57
4,13,81
13,4,80
4,14,95
14,4,94
5,6,28
6,5,27
5,7,60
7,5,59
5,8,49
8,5,48
5,9,86
9,5,85
5,10,18
10,5,17
5,11,48
11,5,47
5,12,16
12,5,15
5,13,61
13,5,60
5,14,2
14,5,1
6,7,30
7,6,29
6,8,68
8,6,67
6,9,62
9,6,61
6,10,69
10,6,68
6,11,52
11,6,51
6,12,33
12,6,32
6,13,59
13,6,58
6,14,51
14,6,50
7,8,14
8,7,13
7,9,50
9,7,49
7,10,29
10,7,28
7,11,84
11,7,83
7,12,38
12,7,37
7,13,10
13,7,9
7,14,89
14,7,88
8,9,65
9,8,64
8,10,55
10,8,54
8,11,4
11,8,3
8,12,52
12,8,51
8,13,40
13,8,39
8,14,70
14,8,69
9,10,82
10,9,81
9,11,97
11,9,96
9,12,40
12,9,39
9,13,50
13,9,49
9,14,52
14,9,51
10,11,21
11,10,20
10,12,18
12,10,17
10,13,18
13,10,17
10,14,62
14,10,61
11,12,14
12,11,13
11,13,67
13,11,66
11,14,86
14,11,85
12,13,59
13,12,58
12,14,90
14,12,89
13,14,76
14,13,75
